symbol,date,open,high,low,close,volume,candle_direction,body_size,candle_range,rolling_avg_close,body_strength,distance_from_avg,rolling_avg_body_size,rolling_avg_volume,trend_direction,signal,daily_range_pct,rolling_avg_range_pct,entry_price,entry_date,rr,risk_distance,stop_loss,take_profit
TSLA,2024-08-15,205.02,215.88,204.82,214.14,89848530,bullish_candle,9.12,11.06,204.17,0.82,4.88,5.79,71807829.0,bullish_trend,strong_bullish_move,5.16,5.25,211.15,2024-08-16,1:2,11.09,200.06,233.33
TSLA,2024-09-04,210.59,222.22,210.57,219.41,80651800,bullish_candle,8.82,11.65,211.23,0.76,3.87,5.29,69432370.0,bullish_trend,strong_bullish_move,5.31,4.32,223.49,2024-09-05,1:2,9.65,213.84,242.79
TSLA,2024-09-19,234.0,244.24,232.13,243.92,102694600,bullish_candle,9.92,12.11,231.21,0.82,5.5,3.84,72260911.0,bullish_trend,strong_bullish_move,4.96,4.49,241.52,2024-09-20,1:2,10.84,230.68,263.2
TSLA,2024-10-24,244.68,262.12,242.65,260.48,204491903,bullish_candle,15.8,19.47,226.33,0.81,15.09,4.0,85128089.0,bullish_trend,strong_bullish_move,7.47,3.14,256.01,2024-10-25,1:2,8.04,247.97,272.09
TSLA,2024-10-25,256.01,269.49,255.32,269.19,161611931,bullish_candle,13.18,14.17,236.03,0.93,14.05,6.63,107528095.0,bullish_trend,strong_bullish_move,5.26,3.25,270.0,2024-10-28,1:2,8.78,261.22,287.56
TSLA,2024-11-08,299.14,328.71,297.66,321.22,204782800,bullish_candle,22.08,31.05,280.19,0.71,14.64,7.96,125081129.0,bullish_trend,strong_bullish_move,9.67,4.45,346.3,2024-11-11,1:2,15.41,330.89,377.12
TSLA,2024-12-06,377.42,389.49,370.8,389.22,81455834,bullish_candle,11.8,18.69,365.03,0.63,6.63,6.29,69984807.0,bullish_trend,strong_bullish_move,4.8,4.17,397.61,2024-12-09,1:2,16.58,381.03,430.77
TSLA,2024-12-16,441.09,463.19,436.15,463.02,114083811,bullish_candle,21.93,27.04,428.62,0.81,8.03,13.66,98537487.0,bullish_trend,strong_bullish_move,5.84,4.18,475.9,2024-12-17,1:2,19.89,456.01,515.68
TSLA,2025-03-21,234.99,249.52,234.55,248.71,132728700,bullish_candle,13.72,14.97,236.83,0.92,5.02,6.16,113425807.0,bullish_trend,strong_bullish_move,6.02,6.1,258.08,2025-03-24,1:2,15.74,242.34,289.56
TSLA,2025-03-24,258.08,278.64,256.33,278.39,169079900,bullish_candle,20.31,22.31,244.91,0.91,13.67,8.81,124861667.0,bullish_trend,strong_bullish_move,8.01,6.08,283.6,2025-03-25,1:2,17.24,266.36,318.08
TSLA,2025-04-02,254.6,284.99,251.27,282.76,212787817,bullish_candle,28.16,33.72,269.41,0.84,4.96,11.07,155933042.0,bullish_trend,strong_bullish_move,11.93,6.2,265.29,2025-04-03,1:2,16.45,248.84,298.19
TSLA,2025-04-09,224.69,274.69,223.88,272.2,219433400,bullish_candle,47.51,50.81,246.81,0.94,10.29,19.62,178378880.0,bullish_trend,strong_bullish_move,18.67,9.34,260.0,2025-04-10,1:2,24.28,235.72,308.56
TSLA,2025-04-25,261.69,286.85,259.63,284.95,167560700,bullish_candle,23.26,27.22,252.13,0.85,13.02,9.23,126206662.0,bullish_trend,strong_bullish_move,9.55,8.23,288.98,2025-04-28,1:2,23.78,265.2,336.54
TSLA,2025-05-13,320.0,337.59,316.8,334.07,136992600,bullish_candle,14.07,20.79,302.35,0.68,10.49,6.32,110325798.0,bullish_trend,strong_bullish_move,6.22,4.83,342.5,2025-05-14,1:2,16.54,325.96,375.58
TSLA,2025-05-27,347.35,363.79,347.32,362.89,120146414,bullish_candle,15.54,16.47,344.34,0.94,5.39,7.99,107197008.0,bullish_trend,strong_bullish_move,4.54,3.9,364.84,2025-05-28,1:2,14.23,350.61,393.3
TSLA,2025-06-23,327.54,357.54,327.48,348.68,190716815,bullish_candle,21.14,30.06,327.67,0.7,6.41,8.71,113350225.0,bullish_trend,strong_bullish_move,8.62,6.03,356.17,2025-06-24,1:2,21.48,334.69,399.13
